,year,ffs_pid,pos,assists,big_chances,big_chances_scored,big_chances_created,blocks,bonus,bps,chances_created,clean_sheets,clearances,corners,corners_ss,crosses,crosses_ss,fouls,gameweek,goals,goals_in_box,goals_head,goals_set_play,goals_penalty,goals_conceded,interceptions,mins,own_goals,passes,passes_rec,passes_rec_final_third,passes_ss,passes_final_third_ss,points,red_cards,recoveries,saves,saves_penalty,shots,shots_on_target,shots_in_box,shots_head,shots_set_play,shots_set_play_head,sub_on,sub_off,tackles,tackles_ss,take_ons,take_ons_ss,touches,touches_final_third,touches_in_box,yellow_cards
0,2011,aaron-hughes,d,0.0,0.05263157894736842,0.0,0.0,0.7368421052631579,0.0,14.578947368421053,0.0,0.3157894736842105,5.473684210526316,0.0,0.0,0.631578947368421,0.10526315789473684,0.2631578947368421,22.36842105263158,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,2.0,81.63157894736842,0.0,43.578947368421055,35.78947368421053,5.0,35.26315789473684,2.1052631578947367,2.789473684210526,0.0,2.526315789473684,0.0,0.0,0.15789473684210525,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.05263157894736842,1.0526315789473684,0.6842105263157895,0.10526315789473684,0.05263157894736842,58.73684210526316,4.2105263157894735,0.2631578947368421,0.0
1,2011,aaron-lennon,m,0.21739130434782608,0.13043478260869565,0.0,0.5217391304347826,0.043478260869565216,0.17391304347826086,14.782608695652174,1.6956521739130435,0.21739130434782608,0.17391304347826086,0.08695652173913043,0.0,2.347826086956522,0.6086956521739131,0.34782608695652173,21.652173913043477,0.13043478260869565,0.13043478260869565,0.0,0.0,0.0,0.9130434782608695,0.5652173913043478,68.73913043478261,0.0,24.73913043478261,25.82608695652174,13.434782608695652,21.304347826086957,11.434782608695652,3.347826086956522,0.0,2.4782608695652173,0.0,0.0,0.782608695652174,0.21739130434782608,0.5217391304347826,0.043478260869565216,0.043478260869565216,0.0,0.17391304347826086,0.5217391304347826,0.9130434782608695,0.6521739130434783,2.0869565217391304,0.9130434782608695,35.52173913043478,20.434782608695652,3.9130434782608696,0.043478260869565216
2,2011,aaron-ramsey,m,0.11764705882352941,0.20588235294117646,0.029411764705882353,0.14705882352941177,0.08823529411764706,0.08823529411764706,12.794117647058824,1.6176470588235294,0.38235294117647056,0.3235294117647059,0.11764705882352941,0.058823529411764705,1.1176470588235294,0.2647058823529412,0.9411764705882353,19.294117647058822,0.058823529411764705,0.029411764705882353,0.0,0.0,0.0,1.0,0.7941176470588235,72.5,0.029411764705882353,56.61764705882353,52.970588235294116,14.352941176470589,49.44117647058823,12.441176470588236,2.7941176470588234,0.0,4.823529411764706,0.0,0.0,1.8235294117647058,0.47058823529411764,0.8823529411764706,0.08823529411764706,0.23529411764705882,0.0,0.20588235294117646,0.29411764705882354,2.676470588235294,1.7352941176470589,1.588235294117647,1.0,72.02941176470588,23.264705882352942,2.5588235294117645,0.08823529411764706
3,2011,adam-johnson,m,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.038461538461538464,0.19230769230769232,13.0,1.4230769230769231,0.3076923076923077,0.11538461538461539,1.3461538461538463,0.38461538461538464,2.269230769230769,0.5769230769230769,0.3076923076923077,18.653846153846153,0.23076923076923078,0.11538461538461539,0.0,0.038461538461538464,0.0,0.3076923076923077,0.5384615384615384,43.73076923076923,0.0,21.807692307692307,22.653846153846153,12.461538461538462,19.115384615384617,9.5,3.230769230769231,0.0,2.3076923076923075,0.0,0.0,1.3461538461538463,0.5384615384615384,0.8076923076923077,0.0,0.19230769230769232,0.0,0.6153846153846154,0.23076923076923078,0.6923076923076923,0.5,1.5,0.5384615384615384,31.73076923076923,18.384615384615383,2.8461538461538463,0.038461538461538464
4,2011,adel-taarabt,m,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.25925925925925924,15.222222222222221,2.2222222222222223,0.25925925925925924,0.07407407407407407,3.4444444444444446,0.8518518518518519,5.481481481481482,1.3703703703703705,0.7037037037037037,18.814814814814813,0.07407407407407407,0.037037037037037035,0.0,0.037037037037037035,0.0,1.1481481481481481,1.2962962962962963,74.62962962962963,0.0,37.44444444444444,36.18518518518518,15.481481481481481,30.703703703703702,11.25925925925926,2.8518518518518516,0.037037037037037035,5.62962962962963,0.0,0.0,3.259259259259259,1.1481481481481481,0.4074074074074074,0.0,0.5925925925925926,0.0,0.1111111111111111,0.4074074074074074,1.5185185185185186,0.8888888888888888,2.888888888888889,1.4074074074074074,60.2962962962963,29.74074074074074,1.6666666666666667,0.07407407407407407
5,2011,alan-hutton,d,0.06451612903225806,0.0,0.0,0.03225806451612903,0.5483870967741935,0.2903225806451613,15.258064516129032,0.7419354838709677,0.16129032258064516,3.6451612903225805,0.0,0.0,2.4516129032258065,0.6129032258064516,0.6129032258064516,20.483870967741936,0.0,0.0,0.0,0.0,0.0,1.2580645161290323,1.8064516129032258,83.64516129032258,0.0,28.70967741935484,25.06451612903226,8.548387096774194,21.032258064516128,5.129032258064516,2.225806451612903,0.03225806451612903,2.967741935483871,0.0,0.0,0.22580645161290322,0.0,0.0967741935483871,0.0,0.03225806451612903,0.0,0.06451612903225806,0.0967741935483871,2.870967741935484,2.2580645161290325,0.7419354838709677,0.22580645161290322,54.25806451612903,14.193548387096774,0.5483870967741935,0.1935483870967742
6,2011,alejandro-faurlin,m,0.0,0.0,0.0,0.0,0.35,0.15,17.55,1.4,0.2,1.9,0.35,0.15,1.05,0.3,1.2,10.5,0.05,0.0,0.0,0.0,0.0,1.75,2.3,90.0,0.0,57.35,45.35,12.05,46.65,9.55,2.45,0.0,6.3,0.0,0.0,1.45,0.35,0.15,0.0,0.4,0.0,0.0,0.0,5.95,4.5,0.7,0.45,75.6,15.35,0.45,0.15
7,2011,alexandre-song,m,0.3235294117647059,0.029411764705882353,0.0,0.2647058823529412,0.2647058823529412,0.20588235294117646,16.823529411764707,1.3235294117647058,0.35294117647058826,1.2352941176470589,0.0,0.0,0.38235294117647056,0.11764705882352941,2.1470588235294117,21.029411764705884,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,1.1176470588235294,1.9411764705882353,88.20588235294117,0.029411764705882353,66.11764705882354,57.029411764705884,9.823529411764707,55.73529411764706,8.205882352941176,3.323529411764706,0.0,8.235294117647058,0.0,0.0,0.4117647058823529,0.14705882352941177,0.35294117647058826,0.20588235294117646,0.23529411764705882,0.20588235294117646,0.0,0.11764705882352941,4.294117647058823,2.9411764705882355,1.1764705882352942,0.7352941176470589,80.70588235294117,14.5,1.0,0.29411764705882354
8,2011,andre-clarindo-dos-santos,d,0.0,0.06666666666666667,0.0,0.13333333333333333,0.2,0.13333333333333333,17.866666666666667,0.8,0.2,1.0,0.13333333333333333,0.13333333333333333,1.6,0.3333333333333333,1.2,21.333333333333332,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.9333333333333333,2.3333333333333335,67.46666666666667,0.0,51.86666666666667,43.666666666666664,9.8,44.733333333333334,7.466666666666667,2.933333333333333,0.0,6.666666666666667,0.0,0.0,1.1333333333333333,0.2,0.6,0.0,0.2,0.0,0.3333333333333333,0.06666666666666667,4.333333333333333,3.2666666666666666,1.4666666666666666,0.9333333333333333,72.2,16.466666666666665,1.4666666666666666,0.13333333333333333
9,2011,andrew-crofts,m,0.041666666666666664,0.0,0.0,0.0,0.125,0.0,7.375,0.7083333333333334,0.0,0.6666666666666666,0.08333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.7083333333333334,13.958333333333334,0.0,0.0,0.0,0.0,0.0,1.2083333333333333,0.7916666666666666,53.666666666666664,0.0,19.5,15.291666666666666,5.291666666666667,15.208333333333334,3.75,1.5416666666666667,0.0,2.5,0.0,0.0,0.6666666666666666,0.041666666666666664,0.25,0.08333333333333333,0.16666666666666666,0.041666666666666664,0.4583333333333333,0.08333333333333333,2.5416666666666665,1.3333333333333333,0.375,0.20833333333333334,27.083333333333332,7.416666666666667,0.4166666666666667,0.125
